1	0	1	11
2	0	2	2
3	0	3	3
4	0	4	4
5	0	5	5
6	0	6	6
7	0	7	7
8	0	8	8
9	0	9	9
10	0	10	10
11	0	11	10
12	0	12	10
13	0	13	10
14	1	1	11
15	1	2	2
16	1	3	3
17	1	4	4
18	1	5	5
19	1	6	6
20	1	7	7
21	1	8	8
22	1	9	9
23	1	10	10
24	1	11	10
25	1	12	10
26	1	13	10
27	2	1	11
28	2	2	2
29	2	3	3
30	2	4	4
31	2	5	5
32	2	6	6
33	2	7	7
34	2	8	8
35	2	9	9
36	2	10	10
37	2	11	10
38	2	12	10
39	2	13	10
40	3	1	11
41	3	2	2
42	3	3	3
43	3	4	4
44	3	5	5
45	3	6	6
46	3	7	7
47	3	8	8
48	3	9	9
49	3	10	10
50	3	11	10
51	3	12	10
52	3	13	10
53	0	1	11
54	0	2	2
55	0	3	3
56	0	4	4
57	0	5	5
58	0	6	6
59	0	7	7
60	0	8	8
61	0	9	9
62	0	10	10
63	0	11	10
64	0	12	10
65	0	13	10
66	1	1	11
67	1	2	2
68	1	3	3
69	1	4	4
70	1	5	5
71	1	6	6
72	1	7	7
73	1	8	8
74	1	9	9
75	1	10	10
76	1	11	10
77	1	12	10
78	1	13	10
79	2	1	11
80	2	2	2
81	2	3	3
82	2	4	4
83	2	5	5
84	2	6	6
85	2	7	7
86	2	8	8
87	2	9	9
88	2	10	10
89	2	11	10
90	2	12	10
91	2	13	10
92	3	1	11
93	3	2	2
94	3	3	3
95	3	4	4
96	3	5	5
97	3	6	6
98	3	7	7
99	3	8	8
100	3	9	9
101	3	10	10
102	3	11	10
103	3	12	10
104	3	13	10
105	5	0	25
106	5	0	25
